citation_id	evidence_statement
24736073(PubMed)	There is no statistical difference in progression free survival between lung cancer patients treated with gefitinib or erlotinib with EGFR L858R mutations (N=72/242; univariate: P=0.283; multivariate: P=0.250) compared to patients with Exon 19 mutations (N=170).
24736073(PubMed)	There is no statistical difference in progression free survival between lung cancer patients treated with gefitinib or erlotinib with EGFR L858R mutations (N=72/242; univariate: P=0.283; multivariate: P=0.250) compared to patients with Exon 19 mutations (N=170).
24457318(PubMed)	In NSCLC patients treated with EGFR tyrosine kinase inhibitors, the presence of L858R mutation is prognostic for better progression free survival.
24457318(PubMed)	In NSCLC patients treated with EGFR tyrosine kinase inhibitors, the presence of L858R mutation is prognostic for better progression free survival.
15118125(PubMed)	Gefinitib has been shown to be effective in treating cell lines with L858R missense mutations.
23816960(PubMed)	A phase III clinical trial (NCT00949650) found that median progression free survival among patients with exon 19 deletions or L858R EGFR mutations (n = 308) was 13.6 months for afatinib and 6.9 months for chemotherapy (HR, 0.47; 95% CI, 0.34 to 0.65; P = 0.001).
22452895(PubMed)	In a phase 2 study of patients with lung adenocarcinoma (stage IIIb with pleural effusion or stage IV) and EGFR mutations, treated with afatinib were assessed by objective response. 129 patients were treated with afatinib. 66% of the 106 patients with two common activating EGFR mutations (deletion 19 or L858R) had an objective response compared to 39% of 23 patients with less common mutations.
22285168(PubMed)	A randomized phase 3 trial (NCT00446225) involving 173 NSCLC patients with EGFR mutations (exon 19 deletion or L858R mutation in exon 21) with no history of chemotherapy for metastatic disease. Patients were randomly allocated (1:1) to receive either erlotinib or standard chemotherapy. The primary endpoint was progression-free survival (PFS). Median PFS was 9.7 months in the erlotinib group, compared with 5.2 months in the standard chemotherapy group.
26515464(PubMed)	Cells harboring L858R were sensitive to afatinib. This study performed drug response assays using five human NSCLC cell lines with various combinations of EGFR mutations. In order to directly compare the sensitivity of multiple EGFR mutations to EGFR-TKIs the authors also generated multiple EGFR transduced Ba/F3 stable cell lines and evaluated sensitivity to EGFR-TKIs by MTS assay.
24439929(PubMed)	Afatinib is an irreversible covalent inhibitor of EGFR (second generation). This Phase III clinical trial (LUX-Lung 6; NCT01121393) was performed in Asian patients with EGFR mutant advanced NSCLC. 364 eligible patients with EGFR mutations were assigned to afatinib (n=242) or gemcitabine and cisplatin (n=122) treatment. The trial observed significantly longer median progression-free survival with afatinib vs. gemcitabine and cisplatin treatment (11.0 vs. 5.6 months). Afatinib/Chemotherapy group compositions: 51.2/50.8 % del 19; 38/37.7 % Leu858Arg; 10.8/11.5 % Uncommon.
18509184(PubMed)	90 NSCLC patients with stage IIIB/IV chemotherapy-resistant tumors were treated with gefitinib, and the L858R EGFR mutation was associated with longer time to treatment failure than those with wild-type EGFR (median 9.1 versus 2.1). In multivariate analysis, L858R mutations plus adenocarcinoma was a significant predictive factor for time to treatment failure (HR = 0.1030; P = .0004).
20038723(PubMed)	In a phase 3 clinical trial of non-small cell lung cancer (NSCLC) patients, a subset of patients with EGFR mutations (n=44) treated with gefitinib were associated with improved progression free survival (HR: 0.16, 95% CI: 0.05-0.49, P=0.001), and a higher objective response rate (ORR: 42.1% vs 21.1%, p=0.04) compared to patients treated with docetaxel. Of the 44 patients, 22 had an exon 19 deletion, 16 had an L858R mutation, one patient had an exon 20 T790M mutation, two had an exon G719A mutation and four had other mutations.
15329413(PubMed)	Mutational profiling was performed on EGFR exons 18-24 from a group of 10 retrospectively chosen patients who had shown partial response or clinical improvement in response to gefitinib. Of 7 tumors with EGFR mutations, 1 was L858R. The patient was a female former smoker who had lung adenocarcinoma histology, and demonstrated response for 5 months, with overall survival 8 months.
